time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1788692032177147400,0.2111474609375,-0.9930614233016968,-0.003657131688669324,0.006422714795917273,0.11736408621072769,0.011898607015609741,-0.008771217428147793,2.9063680171966553
1788692032182147600,0.216147705078125,-0.9930577278137207,-0.0036636926233768463,0.006427230313420296,0.1173950582742691,0.011905763298273087,-0.008785679005086422,2.9063057899475098
1788692032187147500,0.2211474609375,-0.9930576086044312,-0.0036721057258546352,0.006429593078792095,0.1173955649137497,0.011908477172255516,-0.008802950382232666,2.9063048362731934
1788692032192147500,0.2261474609375,-0.9930416345596313,-0.0036727995611727238,0.006438989657908678,0.11753049492835999,0.011925782077014446,-0.008808154612779617,2.9060330390930176
1788692032197147400,0.2311474609375,-0.9930418133735657,-0.0036861076951026917,0.006440948694944382,0.11752814799547195,0.011926568113267422,-0.0088350186124444,2.9060380458831787
1788692032202147600,0.236147705078125,-0.9930704832077026,-0.0036892686039209366,0.006436202675104141,0.11728571355342865,0.01191855687648058,-0.00883727241307497,2.9065263271331787
1788692032207147500,0.2411474609375,-0.9930706024169922,-0.003685971489176154,0.006445904262363911,0.11728425323963165,0.011938612908124924,-0.008832980878651142,2.906529188156128
1788692032212147500,0.2461474609375,-0.993086040019989,-0.0036846452858299017,0.00645174877718091,0.11715324968099594,0.011951697990298271,-0.00883014127612114,2.9067931175231934
1788692032217147400,0.2511474609375,-0.9930863976478577,-0.003689045086503029,0.006465891841799021,0.11714942008256912,0.011978794820606709,-0.008842147886753082,2.9068009853363037
1788692032222147600,0.256147705078125,-0.9931136965751648,-0.00368822761811316,0.006466459482908249,0.11691772937774658,0.011982175521552563,-0.008837861940264702,2.9072675704956055
1788692032227147500,0.2611474609375,-0.9931139349937439,-0.0036790829617530107,0.006464673206210136,0.11691630631685257,0.01198077667504549,-0.00881926342844963,2.9072704315185547
1788692032232147500,0.2661474609375,-0.9931253790855408,-0.0036797712091356516,0.00646488880738616,0.11681906878948212,0.011981908231973648,-0.00881950743496418,2.907466173171997
1788692032237147400,0.2711474609375,-0.9931255578994751,-0.0036835316568613052,0.006470301654189825,0.11681688576936722,0.011991801671683788,-0.00882821436971426,2.907470703125
1788692032242147600,0.276147705078125,-0.99317467212677,-0.0036927321925759315,0.0064783720299601555,0.11639800667762756,0.012009414844214916,-0.008843311108648777,2.9083142280578613
1788692032247147500,0.2811474609375,-0.9931749105453491,-0.0036980065051466227,0.006487241946160793,0.11639516055583954,0.012025833129882812,-0.008855816908180714,2.908320188522339
1788692032252147500,0.2861474609375,-0.993172824382782,-0.00370656861923635,0.006485572550445795,0.11641285568475723,0.012020367197692394,-0.008872650563716888,2.9082846641540527
1788692032257147400,0.2911474609375,-0.9931730031967163,-0.0037063630297780037,0.006484490353614092,0.1164112389087677,0.012018280103802681,-0.008871970698237419,2.908287763595581
1788692032262147600,0.296147705078125,-0.9932063817977905,-0.0037140599451959133,0.006479471456259489,0.1161261647939682,0.01200906839221716,-0.008882644586265087,2.9088618755340576
