Time,x,y,z
1.7866285408323346e+18,-239459914.5121093,27769510091.759556,-427770122.77739006
1.7866285408373345e+18,-240234724.48131454,27886308098.448986,-429432726.38186467
1.7866285408423345e+18,-241017928.4273875,28003351108.99872,-431098086.2869239
1.7866285408473344e+18,-241809467.87894586,28120645132.732918,-432766222.1828434
1.7866285408523346e+18,-242609135.128517,28238178164.044586,-434436909.0581835
1.7866285408573345e+18,-243416867.7175914,28355956212.025433,-436110189.55918926
1.7866285408623345e+18,-244232603.1453523,28473979279.041733,-437786032.93859285
1.7866285408673344e+18,-245056311.22045088,28592253423.16143,-439464494.6872343
1.7866285408723346e+18,-245887786.79289883,28710766537.86274,-441145363.36039233
1.7866285408773345e+18,-246726905.49348885,28829524684.217644,-442828683.2326205
1.7866285408823345e+18,-247573469.22667074,28948527868.6574,-444514419.7229572
1.7866285408873344e+18,-248427302.90660167,29067782203.528576,-446202636.967553
1.7866285408923346e+18,-249288081.3330097,29187275484.62389,-447893154.5513273
1.7866285408973345e+18,-250155588.1488341,29307013824.7429,-449586064.611496
1.7866285409023345e+18,-251029542.58114207,29426997231.30033,-451281379.2776819
1.7866285409073344e+18,-251909694.13577718,29547231867.577305,-452979193.7780756
1.7866285409123346e+18,-252795640.5950258,29667705429.613365,-454679336.48250794
1.7866285409173345e+18,-253687091.2239158,29788424080.904213,-456381897.2727014
1.7866285409223345e+18,-254583685.14091805,29909387823.19656,-458086885.1656111
1.7866285409273344e+18,-255485046.62400243,30030596657.95681,-459794314.1911998
1.7866285409323343e+18,-256390753.11210293,30152044385.52765,-461504111.0424512
1.786628540937334e+18,-257300569.9126802,30273749686.32061,-463216549.2849952
1.7866285409423342e+18,-258213976.28917912,30395693873.57201,-464931372.38324934
1.7866285409473341e+18,-259130616.5793948,30517883183.95674,-466648669.206162
1.786628540952334e+18,-260050058.05177313,30640317634.790592,-468368435.8409587
1.786628540957334e+18,-260971888.99626738,30763003512.230846,-470090752.9893982
1.7866285409623342e+18,-261895543.66256735,30885928245.91662,-471815433.3710226
1.7866285409673341e+18,-262820598.48590305,31009098120.43761,-473542547.79693174
1.786628540972334e+18,-263746598.67934406,31132513150.249416,-475272065.9601326
