Time,x,y,z
1787287647811931648.000000,1.357825,-0.002670,-2.668037
1787287647816931840.000000,1.362826,0.001478,-2.668393
1787287647821931776.000000,1.367826,-0.003229,-2.668107
1787287647826931712.000000,1.372825,-0.024257,-2.664573
1787287647831931648.000000,1.377825,-0.008394,-2.669384
1787287647836931840.000000,1.382826,-0.018998,-2.673837
1787287647841931776.000000,1.387826,-0.010571,-2.663665
1787287647846931712.000000,1.392825,-0.009057,-2.668807
1787287647851931648.000000,1.397825,-0.004651,-2.673691
1787287647856931840.000000,1.402826,-0.001505,-2.674122
1787287647861931776.000000,1.407826,0.001180,-2.672702
1787287647866931712.000000,1.412825,0.008501,-2.663823
1787287647871931648.000000,1.417825,0.004332,-2.674119
1787287647876931840.000000,1.422826,0.003889,-2.670607
1787287647881931776.000000,1.427826,-0.005307,-2.664313
1787287647886931712.000000,1.432825,-0.007688,-2.662540
1787287647891931648.000000,1.437825,-0.009751,-2.657384
1787287647896931840.000000,1.442826,-0.013211,-2.670156
1787287647901931776.000000,1.447826,-0.003718,-2.654730
1787287647906931712.000000,1.452825,0.000679,-2.661739
1787287647911931648.000000,1.457825,-0.002577,-2.667230
1787287647916931840.000000,1.462826,-0.003774,-2.660642
1787287647921931776.000000,1.467826,-0.006864,-2.667192
1787287647926931712.000000,1.472825,-0.016229,-2.666811
1787287647931931648.000000,1.477825,-0.011267,-2.663908
1787287647936931840.000000,1.482826,-0.010202,-2.673218
1787287647941931776.000000,1.487826,-0.018705,-2.658164
1787287647946931712.000000,1.492825,-0.006880,-2.657307
1787287647951931648.000000,1.497825,-0.009986,-2.669006
1787287647956931840.000000,1.502826,-0.017038,-2.661531
1787287647961931776.000000,1.507826,-0.017259,-2.657998
1787287647966931712.000000,1.512825,-0.011685,-2.665657
1787287647971931648.000000,1.517825,-0.001927,-2.665234
1787287647976931840.000000,1.522826,-0.003744,-2.661734
1787287647981931776.000000,1.527826,0.000423,-2.658961
1787287647986931712.000000,1.532825,-0.001190,-2.668624
1787287647991931648.000000,1.537825,-0.011502,-2.672308
1787287647996931840.000000,1.542826,-0.002399,-2.672406
1787287648001931776.000000,1.547826,-0.009975,-2.656458
1787287648006931712.000000,1.552825,-0.012744,-2.675709
1787287648011931648.000000,1.557825,-0.014532,-2.672922
1787287648016931840.000000,1.562826,-0.003668,-2.672239
1787287648021931776.000000,1.567826,-0.004809,-2.681226
1787287648026931712.000000,1.572825,-0.006638,-2.676937
1787287648031931648.000000,1.577825,-0.001690,-2.683293
1787287648036931840.000000,1.582826,0.015923,-2.676200
1787287648041931776.000000,1.587826,0.007466,-2.673048
1787287648046931712.000000,1.592825,-0.013222,-2.663117
1787287648051931648.000000,1.597825,-0.008888,-2.658001
1787287648056931840.000000,1.602826,-0.008044,-2.672006
1787287648061931776.000000,1.607826,-0.008404,-2.668413
1787287648066931712.000000,1.612825,-0.002105,-2.661355
1787287648071931648.000000,1.617825,-0.010981,-2.664554
1787287648076931840.000000,1.622826,-0.011930,-2.668581
1787287648081931776.000000,1.627826,-0.015363,-2.661329
1787287648086931712.000000,1.632825,-0.004755,-2.662213
1787287648091931648.000000,1.637825,0.005486,-2.661610
1787287648096931840.000000,1.642826,-0.002945,-2.671162
1787287648101931776.000000,1.647826,-0.016664,-2.661881
1787287648106931712.000000,1.652825,-0.009738,-2.667692
1787287648111931648.000000,1.657825,-0.021260,-2.669940
1787287648116931840.000000,1.662826,-0.036100,-2.633928
1787287648121931776.000000,1.667826,0.031508,-2.613013
1787287648126931712.000000,1.672825,-0.010416,-2.395800
1787287648131931648.000000,1.677825,0.015750,-2.332007
1787287648136931840.000000,1.682826,-0.002611,-2.282738
1787287648141931776.000000,1.687826,0.023251,-2.238869
1787287648146931712.000000,1.692825,0.048851,-2.184039
1787287648151931648.000000,1.697825,0.212809,-2.096033
1787287648156931840.000000,1.702826,-0.319684,-2.101983
1787287648161931776.000000,1.707826,0.250243,-2.256321
1787287648166931712.000000,1.712825,0.222509,-2.321739
