Time,x
0.729999756,-0.091583103
0.734999756,-0.084306672
0.74,-0.078384086
0.744999756,-0.071760237
0.749999756,-0.066522077
0.754999756,-0.060834974
0.76,-0.057097588
0.764999756,-0.053621072
0.769999756,-0.049766045
0.774999756,-0.045034811
0.78,-0.042781714
0.784999756,-0.040471945
0.789999756,-0.039287478
0.794999756,-0.038293295
0.8,-0.03688781
0.804999756,-0.035738233
0.809999756,-0.035276648
0.814999756,-0.033192791
0.82,-0.031388726
0.824999756,-0.028387969
0.829999268,-0.025200253
0.834999268,-0.021862227
0.839999023,-0.018630223
0.844999023,-0.014936768
0.849999512,-0.008536753
0.854999512,-0.00460737
0.859999512,0.001202483
0.864999512,0.006509515
0.869999512,0.011809095
0.874999512,0.016132373
0.879999512,0.015562382
0.884999512,0.016724402
0.889999512,0.018673448
0.894999512,0.020937497
0.899999512,0.023525609
0.904999512,0.026117651
0.909999512,0.029208772
0.914999512,0.032050475
0.919999512,0.035485502
0.924999512,0.039044593
0.929999512,0.042641096
0.934999512,0.047282495
0.939999512,0.051337332
0.944999512,0.055807486
0.949999512,0.060089506
0.954999512,0.0655865
0.959999512,0.072351672
0.964999512,0.078762412
0.969999512,0.085804641
0.974999512,0.092217274
0.979999512,0.100152589
0.984999512,0.106566876
0.989999512,0.112380393
0.994999512,0.117862061
0.999999512,0.12446361
1.004999512,0.130408376
1.009999512,0.135027066
1.014999512,0.137969971
1.019999512,0.14114733
1.024999512,0.14460218
1.029999512,0.148200095
1.034999512,0.149550647
1.039999512,0.151303262
1.044999512,0.154460177
1.049999512,0.158649027
1.054999512,0.162109494
1.059999512,0.166544825
1.064999512,0.16414462
1.069999512,0.166847929
1.074999512,0.168020159
1.079999512,0.172787771
1.084999512,0.169960484
1.089999512,0.169132933
1.094999512,0.166049197
1.099999512,0.167999119
1.104999512,0.165161595
1.109999512,0.163167819
1.114999512,0.163428888
1.119999512,0.164745837
1.124999512,0.163374513
1.129999512,0.162214577
1.134999512,0.16215454
1.139999512,0.161627844
1.144999512,0.163197935
1.149999512,0.163072765
1.154999512,0.163971305
1.159999512,0.162089542
1.164999512,0.160852954
1.169999512,0.1590572
1.174999512,0.157344431
1.179999512,0.156527773
1.184999512,0.154235587
1.189999512,0.15340364
1.194999512,0.151726916
1.199999512,0.150551081
1.204999512,0.150089204
1.209999512,0.146324158
1.214999512,0.144017473
1.219999512,0.140329912
1.224999512,0.136443883
1.229999512,0.131096378
1.234999512,0.125109896
1.239999512,0.120864376
1.244999512,0.115434214
1.249999512,0.108660452
1.254999512,0.102399692
1.259999512,0.096166775
1.264999512,0.090725318
1.269999512,0.084764853
1.274999512,0.079284884
1.279999512,0.073073961
1.284999512,0.070427045
1.289999512,0.064473324
1.294999512,0.058954518
1.299999512,0.05402568
1.304999512,0.047104355
1.309999512,0.041679036
1.314999512,0.033400767
1.319999512,0.026366623
1.324999512,0.020405689
1.329999512,0.014448355
1.334999512,0.0095464
1.339999512,0.003888402
1.344999512,-0.001314475
1.349999512,-0.005051768
1.354999512,-0.005546595
1.359999512,-0.006481897
1.364999512,-0.008056916
1.369999512,-0.010216802
1.374999512,-0.013298436
1.379999512,-0.017403474
1.384999512,-0.022736963
1.389999512,-0.028809274
1.394999512,-0.034176584
1.399999512,-0.040180504
1.404999512,-0.045887813
1.409999512,-0.051125914
1.414999512,-0.055742983
1.419999512,-0.059367046
1.424999512,-0.063806795
1.429999512,-0.066766702
1.434999512,-0.070402689
1.439999512,-0.073160782
1.444999512,-0.076017156
1.449999512,-0.079438701
1.454999512,-0.081650287
1.459999512,-0.084752917
1.464999512,-0.088184454
1.469999512,-0.090955809
1.474999512,-0.092155114
1.479999512,-0.095158115
1.484999512,-0.097905703
1.489999512,-0.100539014
1.494999512,-0.103651971
1.499999512,-0.10577824
1.504999512,-0.109025858
1.509999512,-0.111480288
1.514999512,-0.114179663
1.519999512,-0.116797626
1.524999512,-0.119234085
1.529999512,-0.121694289
1.534999512,-0.124842383
1.539999512,-0.129365593
1.544999512,-0.132229507
1.549999512,-0.135626152
1.554999512,-0.139534205
1.559999512,-0.141311392
1.564999512,-0.143992424
1.569999512,-0.147323057
1.574999512,-0.149413586
1.579999512,-0.155528024
1.584999512,-0.156178102
1.589999512,-0.157554314
1.594999512,-0.160968915
1.599999512,-0.163720086
1.604999512,-0.166900009
1.609999512,-0.17052266
1.614999512,-0.172023013
1.619999512,-0.17299448
