time,x,x
1.78869E+18,-0.118156619,0.001780181
1.78869E+18,-0.118114665,0.001822135
1.78869E+18,-0.118026666,0.001910134
1.78869E+18,-0.117921934,0.002014866
1.78869E+18,-0.117821664,0.002115136
1.78869E+18,-0.117801942,0.002134858
1.78869E+18,-0.117708445,0.002228355
1.78869E+18,-0.117664844,0.002271956
1.78869E+18,-0.117601939,0.002334861
1.78869E+18,-0.11765115,0.00228565
1.78869E+18,-0.117669232,0.002267568
1.78869E+18,-0.117649682,0.002287118
1.78869E+18,-0.117643625,0.002293175
1.78869E+18,-0.117561541,0.002375259
1.78869E+18,-0.18939732,-0.06946052
1.78869E+18,-0.202586502,-0.082649702
1.78869E+18,-0.213853776,-0.093916976
1.78869E+18,-0.264370918,-0.144434118
1.78869E+18,-0.273114353,-0.153177553
1.78869E+18,-0.267534286,-0.147597486
1.78869E+18,-0.279070646,-0.159133846
1.78869E+18,-0.279837877,-0.159901077
1.78869E+18,-0.26047942,-0.14054262
1.78869E+18,-0.255956501,-0.136019701
1.78869E+18,-0.252255052,-0.132318252
1.78869E+18,-0.244254708,-0.124317908
1.78869E+18,-0.238612175,-0.118675375
1.78869E+18,-0.229582146,-0.109645346
1.78869E+18,-0.214621186,-0.094684386
1.78869E+18,-0.208255917,-0.088319117
1.78869E+18,-0.202328727,-0.082391927
1.78869E+18,-0.197518468,-0.077581668
1.78869E+18,-0.192271128,-0.072334328
1.78869E+18,-0.180678055,-0.060741255
1.78869E+18,-0.173675239,-0.053738439
1.78869E+18,-0.169154823,-0.049218023
1.78869E+18,-0.164451241,-0.044514441
1.78869E+18,-0.157133132,-0.037196332
1.78869E+18,-0.149640843,-0.029704043
1.78869E+18,-0.144558921,-0.024622121
1.78869E+18,-0.137689188,-0.017752388
1.78869E+18,-0.13219896,-0.01226216
1.78869E+18,-0.127492145,-0.007555345
1.78869E+18,-0.120738916,-0.000802116
1.78869E+18,-0.116257496,0.003679304
1.78869E+18,-0.111646742,0.008290058
1.78869E+18,-0.105858214,0.014078586
1.78869E+18,-0.10157074,0.01836606
1.78869E+18,-0.097043663,0.022893137
1.78869E+18,-0.097099856,0.022836944
1.78869E+18,-0.097428307,0.022508493
1.78869E+18,-0.097499743,0.022437057
1.78869E+18,-0.097518511,0.022418289
1.78869E+18,-0.097560331,0.022376469
1.78869E+18,-0.097610183,0.022326617
1.78869E+18,-0.097771563,0.022165237
1.78869E+18,-0.097901359,0.022035441
1.78869E+18,-0.097960487,0.021976313
1.78869E+18,-0.097996943,0.021939857
1.78869E+18,-0.09801735,0.02191945
1.78869E+18,-0.097955316,0.021981484
1.78869E+18,-0.097893596,0.022043204
1.78869E+18,-0.097850956,0.022085844
1.78869E+18,-0.097795412,0.022141388
1.78869E+18,-0.097728714,0.022208086
1.78869E+18,-0.097703323,0.022233477
1.78869E+18,-0.097715266,0.022221534
1.78869E+18,-0.097658351,0.022278449
1.78869E+18,-0.097671822,0.022264978
1.78869E+18,-0.097704127,0.022232673
1.78869E+18,-0.097763658,0.022173142
1.78869E+18,-0.097768769,0.022168031
1.78869E+18,-0.097806543,0.022130257
1.78869E+18,-0.09780363,0.02213317
1.78869E+18,-0.097789317,0.022147483
1.78869E+18,-0.097797386,0.022139414
1.78869E+18,-0.097794361,0.022142439
1.78869E+18,-0.097795486,0.022141314
1.78869E+18,-0.097882383,0.022054417
1.78869E+18,-0.097907983,0.022028817
1.78869E+18,-0.097933337,0.022003463
1.78869E+18,-0.097999036,0.021937764
1.78869E+18,-0.098033309,0.021903491
1.78869E+18,-0.098078765,0.021858035
1.78869E+18,-0.098115459,0.021821341
1.78869E+18,-0.098150611,0.021786189
1.78869E+18,-0.09820123,0.02173557
1.78869E+18,-0.098279171,0.021657629
1.78869E+18,-0.098355204,0.021581596
1.78869E+18,-0.098416276,0.021520524
1.78869E+18,-0.098475605,0.021461195
1.78869E+18,-0.098559931,0.021376869
1.78869E+18,-0.098614708,0.021322092
1.78869E+18,-0.098624595,0.021312205
1.78869E+18,-0.098639175,0.021297625
1.78869E+18,-0.098677807,0.021258993
1.78869E+18,-0.098689787,0.021247013
1.78869E+18,-0.098719358,0.021217442
1.78869E+18,-0.098762751,0.021174049
1.78869E+18,-0.098765261,0.021171539
1.78869E+18,-0.098826751,0.021110049
1.78869E+18,-0.098877437,0.021059363
1.78869E+18,-0.098922752,0.021014048
1.78869E+18,-0.098963127,0.020973673
1.78869E+18,-0.098954126,0.020982674
1.78869E+18,-0.098974757,0.020962043
1.78869E+18,-0.098971717,0.020965083
1.78869E+18,-0.098928243,0.021008557
1.78869E+18,-0.09890718,0.02102962
1.78869E+18,-0.098936856,0.020999944
1.78869E+18,-0.098922282,0.021014518
1.78869E+18,-0.098938704,0.020998096
1.78869E+18,-0.098934457,0.021002343
1.78869E+18,-0.098991871,0.020944929
1.78869E+18,-0.09898378,0.02095302
1.78869E+18,-0.099004902,0.020931898
1.78869E+18,-0.098987833,0.020948967
1.78869E+18,-0.098969765,0.020967035
1.78869E+18,-0.099014744,0.020922056
1.78869E+18,-0.099054486,0.020882314
1.78869E+18,-0.099088304,0.020848496
1.78869E+18,-0.099118605,0.020818195
1.78869E+18,-0.099089719,0.020847081
1.78869E+18,-0.099060714,0.020876086
1.78869E+18,-0.099045381,0.020891419
1.78869E+18,-0.099045426,0.020891374
1.78869E+18,-0.099099442,0.020837358
1.78869E+18,-0.099118009,0.020818791
1.78869E+18,-0.099155448,0.020781352
1.78869E+18,-0.099164903,0.020771897
1.78869E+18,-0.099135607,0.020801193
1.78869E+18,-0.099148162,0.020788638
1.78869E+18,-0.099187501,0.020749299
1.78869E+18,-0.099221505,0.020715295
1.78869E+18,-0.099282853,0.020653947
1.78869E+18,-0.099418283,0.020518517
1.78869E+18,-0.099569462,0.020367338
1.78869E+18,-0.099731095,0.020205705
1.78869E+18,-0.099886015,0.020050785
1.78869E+18,-0.100013509,0.019923291
1.78869E+18,-0.10012009,0.01981671
1.78869E+18,-0.10027805,0.01965875
1.78869E+18,-0.100479849,0.019456951
1.78869E+18,-0.100648664,0.019288136
1.78869E+18,-0.100704461,0.019232339
1.78869E+18,-0.100796431,0.019140369
1.78869E+18,-0.100802459,0.019134341
1.78869E+18,-0.100870728,0.019066072
1.78869E+18,-0.100929759,0.019007041
1.78869E+18,-0.100944065,0.018992735
1.78869E+18,-0.100975171,0.018961629
1.78869E+18,-0.100987993,0.018948807
1.78869E+18,-0.101048887,0.018887913
1.78869E+18,-0.10118556,0.01875124
1.78869E+18,-0.101303063,0.018633737
1.78869E+18,-0.101350538,0.018586262
1.78869E+18,-0.101443022,0.018493778
1.78869E+18,-0.10153608,0.01840072
1.78869E+18,-0.101566561,0.018370239
1.78869E+18,-0.101530917,0.018405883
1.78869E+18,-0.101561636,0.018375164
1.78869E+18,-0.101543389,0.018393411
1.78869E+18,-0.101522185,0.018414615
1.78869E+18,-0.10148596,0.01845084
1.78869E+18,-0.101566769,0.018370031
1.78869E+18,-0.101602137,0.018334663
1.78869E+18,-0.10165368,0.01828312
1.78869E+18,-0.101724252,0.018212548
1.78869E+18,-0.101805277,0.018131523
1.78869E+18,-0.101889931,0.018046869
1.78869E+18,-0.101959713,0.017977087
1.78869E+18,-0.102029778,0.017907022
1.78869E+18,-0.102083027,0.017853773
1.78869E+18,-0.102111459,0.017825341
1.78869E+18,-0.102167457,0.017769343
1.78869E+18,-0.102330573,0.017606227
1.78869E+18,-0.102365606,0.017571194
1.78869E+18,-0.102409706,0.017527094
1.78869E+18,-0.102515757,0.017421043
1.78869E+18,-0.102598071,0.017338729
1.78869E+18,-0.102718703,0.017218097
1.78869E+18,-0.102882743,0.017054057
1.78869E+18,-0.10296008,0.01697672
1.78869E+18,-0.103111535,0.016825265
1.78869E+18,-0.103260152,0.016676648
1.78869E+18,-0.103416219,0.016520581
1.78869E+18,-0.103470676,0.016466124
1.78869E+18,-0.103545018,0.016391782
1.78869E+18,-0.103561565,0.016375235
1.78869E+18,-0.103586152,0.016350648
1.78869E+18,-0.103660524,0.016276276
1.78869E+18,-0.103735253,0.016201547
1.78869E+18,-0.103809357,0.016127443
1.78869E+18,-0.103857473,0.016079327
1.78869E+18,-0.103950165,0.015986635
1.78869E+18,-0.104009248,0.015927552
1.78869E+18,-0.104050264,0.015886536
1.78869E+18,-0.104162894,0.015773906
1.78869E+18,-0.104259551,0.015677249
1.78869E+18,-0.104302712,0.015634088
1.78869E+18,-0.104233198,0.015703602
1.78869E+18,-0.104243949,0.015692851
1.78869E+18,-0.104269758,0.015667042
1.78869E+18,-0.104360916,0.015575884
1.78869E+18,-0.104403816,0.015532984
1.78869E+18,-0.104497507,0.015439293
1.78869E+18,-0.10460826,0.01532854
1.78869E+18,-0.104626387,0.015310413
1.78869E+18,-0.104741722,0.015195078
